         x         y           v           s          Vx          Vy
         0         0           0           0           0           0
         0         1           0           0           0           1
         1         0           0           0           0           0
         1         1           0           0           0           0
      0.01      0.01  -0.0019521  7.3331e-08  1.2224e-05  1.2203e-05
      0.01      0.02  -0.0024395  2.4448e-07  1.7949e-05  3.5811e-05
      0.01      0.03  -0.0028711  4.3231e-07  1.6765e-05  5.9604e-05
      0.01      0.04  -0.0027549  5.7978e-07  1.1015e-05  7.5484e-05
      0.01      0.05  -0.0016228  6.5262e-07  2.5791e-06  7.8081e-05
      0.01      0.06  0.00087411  6.3136e-07 -7.3602e-06     6.4e-05
      0.01      0.07   0.0049732  5.0541e-07 -1.8099e-05  3.1179e-05
      0.01      0.08    0.010827  2.6939e-07 -2.9221e-05 -2.1578e-05
      0.01      0.09    0.018529 -7.9014e-08 -4.0483e-05 -9.4902e-05
      0.01       0.1     0.02813 -5.4027e-07 -5.1738e-05 -0.00018906
      0.01      0.11    0.039654 -1.1138e-06 -6.2901e-05  -0.0003041
      0.01      0.12    0.053108 -1.7983e-06 -7.3922e-05  -0.0004399
      0.01      0.13    0.068483 -2.5922e-06 -8.4775e-05 -0.00059626
      0.01      0.14    0.085765 -3.4938e-06 -9.5445e-05 -0.00077292
      0.01      0.15     0.10493 -4.5011e-06 -0.00010593 -0.00096958
      0.01      0.16     0.12596 -5.6123e-06 -0.00011622  -0.0011859
      0.01      0.17     0.14882 -6.8255e-06 -0.00012632  -0.0014217
      0.01      0.18     0.17349 -8.1387e-06 -0.00013623  -0.0016764
      0.01      0.19     0.19993 -9.5501e-06 -0.00014596  -0.0019498
      0.01       0.2     0.22811 -1.1058e-05  -0.0001555  -0.0022416
      0.01      0.21       0.258  -1.266e-05 -0.00016486  -0.0025514
      0.01      0.22     0.28957 -1.4355e-05 -0.00017403  -0.0028788
      0.01      0.23     0.32279 -1.6141e-05 -0.00018302  -0.0032236
      0.01      0.24     0.35761 -1.8015e-05 -0.00019183  -0.0035852
      0.01      0.25       0.394 -1.9977e-05 -0.00020048  -0.0039635
      0.02      0.01  -0.0024358  2.4406e-07  3.5811e-05  1.7846e-05
      0.02      0.02 -4.5121e-05  7.1623e-07  4.7401e-05  4.7216e-05
      0.02      0.03   0.0023563  1.1921e-06  3.9672e-05   7.211e-05
      0.02      0.04   0.0050703  1.5097e-06  1.8476e-05  8.0922e-05
      0.02      0.05   0.0084421  1.5616e-06 -1.1484e-05  6.5366e-05
      0.02      0.06    0.012774    1.28e-06 -4.6902e-05  1.9737e-05
      0.02      0.07    0.018301  6.2358e-07 -8.5578e-05 -5.9752e-05
      0.02      0.08    0.025196 -4.3156e-07 -0.00012608 -0.00017551
      0.02      0.09     0.03358  -1.898e-06 -0.00016748 -0.00032897
      0.02       0.1    0.043535 -3.7812e-06  -0.0002092  -0.0005209
      0.02      0.11    0.055111 -6.0819e-06 -0.00025083 -0.00075161
      0.02      0.12    0.068338 -8.7979e-06 -0.00029216  -0.0010211
      0.02      0.13     0.08323 -1.1925e-05 -0.00033302  -0.0013291
      0.02      0.14    0.099789 -1.5458e-05 -0.00037333  -0.0016754
      0.02      0.15     0.11801 -1.9392e-05 -0.00041302  -0.0020594
      0.02      0.16     0.13788 -2.3719e-05 -0.00045207  -0.0024807
      0.02      0.17     0.15938 -2.8433e-05 -0.00049046  -0.0029386
      0.02      0.18     0.18248 -3.3528e-05 -0.00052818  -0.0034327
      0.02      0.19     0.20718 -3.8997e-05 -0.00056522  -0.0039622
      0.02       0.2     0.23343 -4.4832e-05 -0.00060157  -0.0045266
      0.02      0.21     0.26122 -5.1028e-05 -0.00063722  -0.0051253
      0.02      0.22     0.29052 -5.7577e-05 -0.00067216  -0.0057575
      0.02      0.23     0.32128 -6.4471e-05  -0.0007064  -0.0064225
      0.02      0.24     0.35349 -7.1705e-05 -0.00073991  -0.0071198
      0.02      0.25     0.38709  -7.927e-05  -0.0007727  -0.0078485
      0.03      0.01  -0.0028648  4.3025e-07   5.944e-05  1.6528e-05
      0.03      0.02   0.0023388  1.1888e-06  7.2213e-05  3.9206e-05
      0.03      0.03   0.0072715  1.8745e-06   5.047e-05  4.9985e-05
      0.03      0.04    0.012238  2.1982e-06  4.2713e-06  3.5761e-05
      0.03      0.05    0.017548  1.9599e-06 -5.8606e-05 -1.3129e-05
      0.03      0.06    0.023479  1.0261e-06 -0.00013248 -0.00010369
      0.03      0.07    0.030262 -6.8964e-07 -0.00021334 -0.00024086
      0.03      0.08    0.038078 -3.2408e-06 -0.00029844 -0.00042799
      0.03      0.09    0.047065 -6.6583e-06 -0.00038587 -0.00066724
      0.03       0.1    0.057324 -1.0958e-05 -0.00047438 -0.00095992
      0.03      0.11    0.068926 -1.6146e-05  -0.0005631  -0.0013067
      0.03      0.12    0.081919  -2.222e-05 -0.00065146  -0.0017078
      0.03      0.13    0.096332 -2.9175e-05 -0.00073908  -0.0021631
      0.03      0.14     0.11218 -3.7002e-05 -0.00082571  -0.0026722
      0.03      0.15     0.12948 -4.5689e-05  -0.0009112  -0.0032347
      0.03      0.16     0.14822 -5.5226e-05 -0.00099542    -0.00385
      0.03      0.17     0.16839 -6.5598e-05  -0.0010783  -0.0045173
      0.03      0.18     0.18998 -7.6792e-05  -0.0011598  -0.0052359
      0.03      0.19     0.21298 -8.8794e-05  -0.0012399   -0.006005
      0.03       0.2     0.23736 -0.00010159  -0.0013186  -0.0068236
      0.03      0.21      0.2631 -0.00011517  -0.0013957   -0.007691
      0.03      0.22     0.29018  -0.0001295  -0.0014713  -0.0086062
      0.03      0.23     0.31856 -0.00014459  -0.0015454  -0.0095682
      0.03      0.24     0.34822 -0.00016041  -0.0016178   -0.010576
      0.03      0.25     0.37912 -0.00017695  -0.0016886   -0.011628
      0.04      0.01  -0.0027571  5.7462e-07  7.5017e-05  1.0666e-05
      0.04      0.02    0.004994  1.5003e-06  8.0859e-05  1.7899e-05
      0.04      0.03    0.012154  2.1918e-06  3.6227e-05   3.877e-06
      0.04      0.04    0.019064  2.2249e-06 -4.4638e-05 -4.4702e-05
      0.04      0.05    0.026034   1.299e-06 -0.00015094 -0.00013791
      0.04      0.06    0.033333  -7.938e-07 -0.00027463 -0.00028331
      0.04      0.07     0.04119 -4.1936e-06 -0.00040988 -0.00048645
      0.04      0.08    0.049792 -8.9913e-06 -0.00055246 -0.00075132
      0.04      0.09    0.059284 -1.5243e-05 -0.00069942  -0.0010806
      0.04       0.1    0.069779  -2.298e-05 -0.00084865  -0.0014761
      0.04      0.11    0.081364 -3.2216e-05 -0.00099869  -0.0019387
      0.04      0.12    0.094099 -4.2953e-05  -0.0011485  -0.0024691
      0.04      0.13     0.10803 -5.5186e-05  -0.0012975  -0.0030671
      0.04      0.14     0.12318 -6.8903e-05   -0.001445  -0.0037326
      0.04      0.15     0.13957 -8.4086e-05  -0.0015908  -0.0044651
      0.04      0.16      0.1572 -0.00010072  -0.0017347  -0.0052639
      0.04      0.17     0.17608 -0.00011878  -0.0018764  -0.0061282
      0.04      0.18      0.1962 -0.00013825  -0.0020158  -0.0070572
      0.04      0.19     0.21754  -0.0001591   -0.002153  -0.0080499
      0.04       0.2      0.2401 -0.00018131  -0.0022876  -0.0091053
      0.04      0.21     0.26385 -0.00020485  -0.0024198   -0.010222
      0.04      0.22     0.28878  -0.0002297  -0.0025493   -0.011399
      0.04      0.23     0.31486 -0.00025584  -0.0026762   -0.012636
      0.04      0.24     0.34206 -0.00028322  -0.0028002    -0.01393
      0.04      0.25     0.37033 -0.00031184  -0.0029213   -0.015281
      0.05      0.01   -0.001665  6.4357e-07   7.734e-05  2.2383e-06
      0.05      0.02   0.0082415  1.5468e-06  6.5424e-05 -1.1665e-05
      0.05      0.03    0.017286   1.952e-06 -1.2132e-05 -5.7747e-05
      0.05      0.04    0.025832  1.3042e-06 -0.00013751 -0.00014851
      0.05      0.05    0.034191 -7.9825e-07 -0.00029721 -0.00029372
      0.05      0.06    0.042631   -4.64e-06 -0.00048102 -0.00050093
      0.05      0.07    0.051378 -1.0419e-05 -0.00068135 -0.00077592
      0.05      0.08    0.060618 -1.8267e-05 -0.00089259  -0.0011229
      0.05      0.09    0.070505 -2.8271e-05  -0.0011106   -0.001545
      0.05       0.1    0.081157  -4.048e-05  -0.0013325  -0.0020442
      0.05      0.11    0.092668 -5.4921e-05  -0.0015561  -0.0026218
      0.05      0.12     0.10511 -7.1601e-05  -0.0017798  -0.0032786
      0.05      0.13     0.11854 -9.0517e-05  -0.0020026  -0.0040147
      0.05      0.14     0.13298 -0.00011165  -0.0022237    -0.00483
      0.05      0.15     0.14847 -0.00013499  -0.0024425  -0.0057241
      0.05      0.16     0.16503  -0.0001605  -0.0026586  -0.0066962
      0.05      0.17     0.18264 -0.00018816  -0.0028717  -0.0077457
      0.05      0.18     0.20133 -0.00021794  -0.0030815  -0.0088716
      0.05      0.19     0.22107 -0.00024979   -0.003288   -0.010073
      0.05       0.2     0.24187  -0.0002837  -0.0034908   -0.011348
      0.05      0.21      0.2637 -0.00031961  -0.0036899   -0.012696
      0.05      0.22     0.28655 -0.00035749  -0.0038851   -0.014115
      0.05      0.23      0.3104 -0.00039731  -0.0040761   -0.015605
      0.05      0.24     0.33522 -0.00043902  -0.0042629   -0.017163
      0.05      0.25     0.36098 -0.00048257  -0.0044453   -0.018788
      0.06      0.01  0.00072781  6.1938e-07  6.3352e-05  -7.472e-06
      0.06      0.02    0.012352   1.267e-06  2.0874e-05 -4.5843e-05
      0.06      0.03    0.022919  1.0369e-06 -0.00010062 -0.00012852
      0.06      0.04    0.032789 -7.4527e-07 -0.00028061 -0.00026649
      0.06      0.05    0.042271 -4.5753e-06 -0.00050336  -0.0004687
      0.06      0.06    0.051626 -1.0813e-05 -0.00075683 -0.00074226
      0.06      0.07    0.061075 -1.9712e-05  -0.0010319  -0.0010928
      0.06      0.08    0.070805  -3.145e-05  -0.0013215  -0.0015245
      0.06      0.09    0.080968 -4.6143e-05  -0.0016207  -0.0020407
      0.06       0.1    0.091687 -6.3864e-05  -0.0019255  -0.0026434
      0.06      0.11     0.10306 -8.4653e-05  -0.0022331  -0.0033343
      0.06      0.12     0.11517 -0.00010853  -0.0025414  -0.0041142
      0.06      0.13     0.12807 -0.00013548  -0.0028488  -0.0049833
      0.06      0.14      0.1418  -0.0001655  -0.0031543  -0.0059418
      0.06      0.15      0.1564 -0.00019857   -0.003457  -0.0069891
      0.06      0.16     0.17189 -0.00023464  -0.0037563  -0.0081248
      0.06      0.17     0.18828 -0.00027369  -0.0040517  -0.0093479
      0.06      0.18     0.20556 -0.00031568  -0.0043428   -0.010658
      0.06      0.19     0.22376 -0.00036055  -0.0046293   -0.012052
      0.06       0.2     0.24285 -0.00040826  -0.0049109   -0.013531
      0.06      0.21     0.26282 -0.00045877  -0.0051873   -0.015093
      0.06      0.22     0.28367 -0.00051201  -0.0054584   -0.016736
      0.06      0.23     0.30538 -0.00056793  -0.0057237   -0.018458
      0.06      0.24     0.32792 -0.00062648  -0.0059832   -0.020258
      0.06      0.25     0.35125  -0.0006876  -0.0062363   -0.022134
      0.07      0.01   0.0046127  4.9413e-07  3.1496e-05 -1.7671e-05
      0.07      0.02    0.017523  6.2992e-07  -5.562e-05 -8.2127e-05
      0.07      0.03     0.02925 -6.1827e-07 -0.00023278  -0.0002038
      0.07      0.04    0.040138 -4.0257e-06  -0.0004777 -0.00039178
      0.07      0.05     0.05048 -1.0172e-05 -0.00077298 -0.00065377
      0.07      0.06    0.060528 -1.9485e-05  -0.0011051 -0.00099612
      0.07      0.07    0.070496 -3.2274e-05  -0.0014636   -0.001424
      0.07      0.08    0.080564 -4.8758e-05  -0.0018405  -0.0019415
      0.07      0.09    0.090883 -6.9084e-05  -0.0022296  -0.0025516
      0.07       0.1     0.10158 -9.3349e-05  -0.0026262  -0.0032567
      0.07      0.11     0.11275 -0.00012161  -0.0030268  -0.0040582
      0.07      0.12     0.12447 -0.00015388  -0.0034288  -0.0049572
      0.07      0.13     0.13681 -0.00019018  -0.0038302   -0.005954
      0.07      0.14     0.14982 -0.00023049  -0.0042295  -0.0070488
      0.07      0.15     0.16353 -0.00027477  -0.0046255  -0.0082412
      0.07      0.16     0.17797   -0.000323  -0.0050173  -0.0095305
      0.07      0.17     0.19315 -0.00037512  -0.0054044   -0.010916
      0.07      0.18     0.20908 -0.00043109  -0.0057861   -0.012397
      0.07      0.19     0.22577 -0.00049084  -0.0061619   -0.013972
      0.07       0.2     0.24321 -0.00055432  -0.0065314   -0.015639
      0.07      0.21      0.2614 -0.00062147  -0.0068943   -0.017398
      0.07      0.22     0.28032 -0.00069221  -0.0072501   -0.019246
      0.07      0.23     0.29997 -0.00076647  -0.0075986   -0.021181
      0.07      0.24     0.32033 -0.00084418  -0.0079391   -0.023203
      0.07      0.25     0.34134 -0.00092525  -0.0082714   -0.025309
      0.08      0.01    0.010085  2.6596e-07 -1.8774e-05 -2.7871e-05
      0.08      0.02    0.023879 -3.7549e-07 -0.00016526 -0.00011882
      0.08      0.03    0.036424 -3.0392e-06 -0.00041027 -0.00028031
      0.08      0.04    0.048036 -8.5809e-06 -0.00073057 -0.00051931
      0.08      0.05    0.058988 -1.7651e-05  -0.0011077 -0.00084205
      0.08      0.06    0.069515 -3.0735e-05  -0.0015271  -0.0012539
      0.08      0.07    0.079822 -4.8192e-05  -0.0019772  -0.0017594
      0.08      0.08    0.090079 -7.0279e-05  -0.0024491  -0.0023621
      0.08      0.09     0.10043 -9.7175e-05  -0.0029359  -0.0030649
      0.08       0.1     0.11101   -0.000129  -0.0034321    -0.00387
      0.08      0.11      0.1219 -0.00016582  -0.0039336  -0.0047789
      0.08      0.12     0.13319 -0.00020767  -0.0044372  -0.0057924
      0.08      0.13     0.14494 -0.00025456  -0.0049404  -0.0069112
      0.08      0.14     0.15721 -0.00030648  -0.0054415  -0.0081352
      0.08      0.15     0.17002 -0.00036339  -0.0059388  -0.0094643
      0.08      0.16     0.18342 -0.00042525  -0.0064313   -0.010898
      0.08      0.17     0.19742 -0.00049202   -0.006918   -0.012435
      0.08      0.18     0.21204 -0.00056362  -0.0073983   -0.014075
      0.08      0.19     0.22727 -0.00063998  -0.0078714   -0.015816
      0.08       0.2     0.24312 -0.00072104  -0.0083368   -0.017657
      0.08      0.21     0.25958 -0.00080672  -0.0087939   -0.019596
      0.08      0.22     0.27666 -0.00089692  -0.0092422   -0.021632
      0.08      0.23     0.29434 -0.00099156  -0.0096812   -0.023763
      0.08      0.24      0.3126  -0.0010905    -0.01011   -0.025987
      0.08      0.25      0.3314  -0.0011938   -0.010529   -0.028302
      0.09      0.01    0.017168 -6.3284e-08 -8.7326e-05 -3.7768e-05
      0.09      0.02    0.031486 -1.7465e-06 -0.00030806  -0.0001548
      0.09      0.03    0.044535 -6.2244e-06 -0.00063327 -0.00035572
      0.09      0.04    0.056597 -1.4412e-05  -0.0010394 -0.00064538
      0.09      0.05    0.067922 -2.7013e-05  -0.0015076  -0.0010284
      0.09      0.06    0.078727 -4.4563e-05  -0.0020224  -0.0015091
      0.09      0.07      0.0892 -6.7462e-05  -0.0025718   -0.002091
      0.09      0.08    0.099504    -9.6e-05   -0.003146  -0.0027773
      0.09      0.09     0.10978 -0.00013038  -0.0037375  -0.0035705
      0.09       0.1     0.12013 -0.00017075  -0.0043401  -0.0044724
      0.09      0.11     0.13067 -0.00021718  -0.0049492  -0.0054844
      0.09      0.12     0.14148 -0.00026973  -0.0055611  -0.0066075
      0.09      0.13      0.1526 -0.00032841   -0.006173  -0.0078421
      0.09      0.14     0.16411 -0.00039319  -0.0067826  -0.0091881
      0.09      0.15     0.17603 -0.00046406   -0.007388   -0.010645
      0.09      0.16      0.1884 -0.00054095   -0.007988   -0.012214
      0.09      0.17     0.20124 -0.00062382  -0.0085812   -0.013892
      0.09      0.18     0.21457 -0.00071258  -0.0091669   -0.015678
      0.09      0.19     0.22839 -0.00080716   -0.009744   -0.017573
      0.09       0.2      0.2427 -0.00090746   -0.010312   -0.019574
      0.09      0.21     0.25751  -0.0010134    -0.01087   -0.021679
      0.09      0.22     0.27282  -0.0011249   -0.011417   -0.023887
      0.09      0.23     0.28861  -0.0012417   -0.011953   -0.026196
      0.09      0.24     0.30487  -0.0013639   -0.012478   -0.028604
      0.09      0.25     0.32156  -0.0014913   -0.012989   -0.031108
       0.1      0.01    0.025839  -4.894e-07 -0.00017357 -4.7175e-05
       0.1      0.02    0.040364 -3.4715e-06 -0.00048321 -0.00018931
       0.1      0.03    0.053634 -1.0154e-05 -0.00090085 -0.00042845
       0.1      0.04    0.065898 -2.1488e-05  -0.0014033 -0.00076738
       0.1      0.05    0.077378 -3.8219e-05  -0.0019714  -0.0012091
       0.1      0.06    0.088271 -6.0916e-05  -0.0025897  -0.0017567
       0.1      0.07    0.098749 -9.0012e-05  -0.0032455  -0.0024129
       0.1      0.08     0.10896 -0.00012583  -0.0039286  -0.0031801
       0.1      0.09     0.11904 -0.00016858   -0.004631  -0.0040603
       0.1       0.1     0.12909 -0.00021845  -0.0053461  -0.0050551
       0.1      0.11     0.13921 -0.00027551  -0.0060687  -0.0061656
       0.1      0.12     0.14947 -0.00033982  -0.0067948  -0.0073925
       0.1      0.13     0.15994  -0.0004114  -0.0075211  -0.0087364
       0.1      0.14     0.17066 -0.00049024  -0.0082449   -0.010197
       0.1      0.15     0.18169  -0.0005763  -0.0089642   -0.011774
       0.1      0.16     0.19304 -0.00066953  -0.0096774   -0.013468
       0.1      0.17     0.20474 -0.00076985   -0.010383   -0.015276
       0.1      0.18     0.21681 -0.00087718    -0.01108   -0.017198
       0.1      0.19     0.22926 -0.00099144   -0.011767   -0.019234
       0.1       0.2     0.24209  -0.0011125   -0.012443   -0.021381
       0.1      0.21     0.25531  -0.0012403   -0.013107   -0.023637
       0.1      0.22     0.26892  -0.0013747   -0.013759   -0.026002
       0.1      0.23      0.2829  -0.0015155   -0.014398   -0.028472
       0.1      0.24     0.29726  -0.0016626   -0.015022   -0.031047
       0.1      0.25     0.31194  -0.0018159   -0.015632   -0.033723
      0.11      0.01     0.03604 -1.0068e-06 -0.00027664 -5.5981e-05
      0.11      0.02    0.050497 -5.5327e-06 -0.00068933 -0.00022187
      0.11      0.03     0.06374 -1.4793e-05  -0.0012113 -0.00049742
      0.11      0.04    0.075983 -2.9759e-05  -0.0018201 -0.00088347
      0.11      0.05     0.08742 -5.1196e-05  -0.0024969  -0.0013815
      0.11      0.06    0.098229 -7.9698e-05  -0.0032262  -0.0019933
      0.11      0.07     0.10856 -0.00011572  -0.0039952  -0.0027206
      0.11      0.08     0.11856  -0.0001596  -0.0047934  -0.0035652
      0.11      0.09     0.12833 -0.00021159  -0.0056124  -0.0045283
      0.11       0.1     0.13799 -0.00027185  -0.0064454  -0.0056113
      0.11      0.11     0.14762  -0.0003405  -0.0072867   -0.006815
      0.11      0.12     0.15729 -0.00041758  -0.0081319  -0.0081398
      0.11      0.13     0.16706 -0.00050313  -0.0089775  -0.0095861
      0.11      0.14     0.17699 -0.00059713  -0.0098205   -0.011154
      0.11      0.15      0.1871 -0.00069954   -0.010659   -0.012842
      0.11      0.16     0.19743  -0.0008103    -0.01149   -0.014651
      0.11      0.17     0.20802 -0.00092934   -0.012312    -0.01658
      0.11      0.18     0.21886  -0.0010565   -0.013125   -0.018627
      0.11      0.19     0.22998  -0.0011918   -0.013926   -0.020791
      0.11       0.2     0.24139  -0.0013351   -0.014715   -0.023072
      0.11      0.21     0.25308  -0.0014861   -0.015491   -0.025466
      0.11      0.22     0.26505  -0.0016449   -0.016252   -0.027972
      0.11      0.23     0.27732  -0.0018112   -0.016998   -0.030589
      0.11      0.24     0.28986  -0.0019849   -0.017728   -0.033313
      0.11      0.25     0.30262  -0.0021657    -0.01844   -0.036144
      0.12      0.01    0.047689  -1.609e-06 -0.00039545 -6.4122e-05
      0.12      0.02    0.061845 -7.9089e-06 -0.00092465 -0.00025219
      0.12      0.03    0.074844 -2.0102e-05  -0.0015624 -0.00056192
      0.12      0.04    0.086868 -3.9158e-05  -0.0022874 -0.00099242
      0.12      0.05    0.098087 -6.5849e-05  -0.0030812  -0.0015437
      0.12      0.06     0.10865 -0.00010078  -0.0039288  -0.0022162
      0.12      0.07     0.11871 -0.00014442  -0.0048173  -0.0030109
      0.12      0.08     0.12837 -0.00019713  -0.0057363  -0.0039286
      0.12      0.09     0.13774 -0.00025915  -0.0066772  -0.0049701
      0.12       0.1     0.14693 -0.00033067  -0.0076327  -0.0061361
      0.12      0.11       0.156 -0.00041181  -0.0085972  -0.0074271
      0.12      0.12     0.16503 -0.00050262  -0.0095659  -0.0088434
      0.12      0.13     0.17407 -0.00060312   -0.010535   -0.010385
      0.12      0.14     0.18317 -0.00071332   -0.011501   -0.012052
      0.12      0.15     0.19237 -0.00083315   -0.012462   -0.013843
      0.12      0.16      0.2017 -0.00096255   -0.013415   -0.015759
      0.12      0.17     0.21118  -0.0011014   -0.014359   -0.017798
      0.12      0.18     0.22083  -0.0012497   -0.015291   -0.019959
      0.12      0.19     0.23066  -0.0014073   -0.016211    -0.02224
      0.12       0.2     0.24068  -0.0015739   -0.017117   -0.024641
      0.12      0.21      0.2509  -0.0017496   -0.018008    -0.02716
      0.12      0.22     0.26132  -0.0019341   -0.018882   -0.029794
      0.12      0.23     0.27193  -0.0021273   -0.019739   -0.032542
      0.12      0.24     0.28274  -0.0023289   -0.020577   -0.035402
      0.12      0.25     0.29368  -0.0025388   -0.021395    -0.03837
      0.13      0.01    0.060691 -2.2892e-06 -0.00052883 -7.1568e-05
      0.13      0.02    0.074348 -1.0577e-05  -0.0011871  -0.0002801
      0.13      0.03    0.086916 -2.6032e-05  -0.0019516 -0.00062155
      0.13      0.04    0.098551 -4.9608e-05  -0.0028019  -0.0010935
      0.13      0.05     0.10939  -8.207e-05  -0.0037208  -0.0016944
      0.13      0.06     0.11958 -0.00012402  -0.0046934  -0.0024239
      0.13      0.07     0.12923 -0.00017594  -0.0057075  -0.0032816
      0.13      0.08     0.13845 -0.00023817  -0.0067526  -0.0042676
      0.13      0.09     0.14733 -0.00031099  -0.0078199  -0.0053823
      0.13       0.1     0.15597 -0.00039457  -0.0089024  -0.0066257
      0.13      0.11     0.16443 -0.00048904  -0.0099941   -0.007998
      0.13      0.12     0.17277 -0.00059445    -0.01109  -0.0094991
      0.13      0.13     0.18105 -0.00071084   -0.012186   -0.011129
      0.13      0.14     0.18931 -0.00083817   -0.013279   -0.012887
      0.13      0.15     0.19759 -0.00097641   -0.014366   -0.014773
      0.13      0.16     0.20591  -0.0011255   -0.015444   -0.016786
      0.13      0.17      0.2143  -0.0012853   -0.016512   -0.018925
      0.13      0.18     0.22278  -0.0014557   -0.017567   -0.021189
      0.13      0.19     0.23136  -0.0016366   -0.018609   -0.023577
      0.13       0.2     0.24004  -0.0018279   -0.019635   -0.026086
      0.13      0.21     0.24885  -0.0020293   -0.020644   -0.028717
      0.13      0.22     0.25777  -0.0022408   -0.021635   -0.031466
      0.13      0.23     0.26681   -0.002462   -0.022606   -0.034331
      0.13      0.24     0.27597  -0.0026929   -0.023556   -0.037311
      0.13      0.25     0.28517  -0.0029331   -0.024484   -0.040403
      0.14      0.01    0.074941 -3.0404e-06 -0.00067555 -7.8314e-05
      0.14      0.02    0.087932 -1.3511e-05  -0.0014746 -0.00030552
      0.14      0.03    0.099913 -3.2533e-05  -0.0023758 -0.00067608
      0.14      0.04     0.11101 -6.1027e-05  -0.0033602  -0.0011861
      0.14      0.05     0.12134 -9.9738e-05  -0.0044116   -0.001833
      0.14      0.06     0.13102 -0.00014926  -0.0055159   -0.002615
      0.14      0.07     0.14016 -0.00021006  -0.0066611  -0.0035311
      0.14      0.08     0.14884 -0.00028248  -0.0078371  -0.0045805
      0.14      0.09     0.15715  -0.0003668  -0.0090352  -0.0057628
      0.14       0.1     0.16517 -0.00046319   -0.010248  -0.0070776
